,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Merchandise imports by the reporting economy (current US$),0.25138568387525406,-0.3186019946426439,0.17012115553737492,0.05504501842791093,0.28820343056188025,0.3699534057878973,0.27037514952673225,-0.15463882670544762,0.4855246764533062,0.9532204034661012,1.0,0.07166732435886844,0.44175868812935887,-0.34442123267371044,0.2375524750527273,0.07970009526675742,-0.27796683443303694,0.3786731688702172,0.2820034460784949,-0.2821597271157338,0.19573456027435815,0.15414328880503628,0.29971359112096446,0.10879209020171662,0.07904000168679576,-0.21149834520913785,0.11607623796765953,-0.2193592766531399
Military expenditure (% of GDP),0.06654396121744419,-0.08615525019783624,-0.02133972530155762,-0.09408843263721987,0.21599597299935366,0.10927996276453422,0.14916610232896382,0.10723823310110206,0.11586371335797938,0.08089985449614834,0.07166732435886844,1.0,0.20839492933156836,-0.047656457367836295,0.21992529141311182,-0.24509905919725722,-0.31040496472432944,-0.028300418984434438,0.16109042788140016,-0.15581611621197025,0.05781315677787222,0.011529448271762862,0.06959565801170611,-0.0870079638823672,-0.17182038430516733,-0.035560597077165426,-0.2420266799049425,0.07724552923785145
Net migration,0.11161382786738841,-0.1773828639139333,0.04214802611436219,0.089026702171276,0.28710147834740546,0.26661929744358,0.27187615420350686,-0.12912916154332196,0.2664304781263642,0.37765220012658957,0.44175868812935887,0.20839492933156836,1.0,-0.190892466513555,0.17585519785685183,-0.02214091453266338,-0.1984361751141522,0.22853952195828145,0.23368743338153078,-0.25760142624675686,0.11897256291410337,0.11224681599084586,0.1570692825025783,0.03621480477517062,-0.02926731773622134,-0.14300604858924534,0.15451909097002087,-0.22700553798441095
Population ages 0-14 (% of total population),-0.8185944418648269,0.9884241023670878,-0.30472977829593173,0.12401251041268284,-0.5959957565467349,-0.8448466103998438,-0.45731878712400176,0.22968661090900044,-0.08917876936574905,-0.35805110503137577,-0.34442123267371044,-0.047656457367836295,-0.190892466513555,1.0,-0.8871830322035613,-0.12771092895768327,0.6803362673079907,-0.593651439934831,-0.6403930610088404,0.792400291086005,-0.22353839848313384,-0.3631797591178271,-0.8261828187935517,-0.040750435204927854,-0.010038205478427705,0.004938925504852101,0.0035714240628289444,-0.060794070522986784
Population ages 15-64 (% of total population),0.8079247601479882,-0.9277779766235075,0.22076454962528255,-0.048340312631715524,0.6293762885640265,0.6987881912515446,0.38363472901920187,-0.161755297858402,0.09856642493276033,0.26878563360969665,0.2375524750527273,0.21992529141311182,0.17585519785685183,-0.8871830322035613,1.0,-0.0482536049399948,-0.7304183320574733,0.43811171558326456,0.5943905683919032,-0.7310414215554496,0.2137560636601112,0.31131353924936495,0.6985644567208719,-0.006052374493151707,5.74547678121964e-05,-0.01742640274292597,-0.04730539990412235,0.11404574128784897
Proportion of seats held by women in national parliaments (%),0.043626247588858996,-0.09246261614516499,0.12353072157304414,0.02169219279595077,0.012719194862665492,0.20200697640562912,0.1682821724195073,-0.02480821918945538,-0.038215779456906206,0.07884054587329145,0.07970009526675742,-0.24509905919725722,-0.02214091453266338,-0.12771092895768327,-0.0482536049399948,1.0,0.024735871101376972,0.21210320946907657,0.044312377270923416,-0.12483335235337642,0.019268090235574267,0.21893840201362572,0.21430920621159158,0.08134505803925635,0.029303536956411236,-0.09743249109184027,0.13982330697374515,-0.0950263365826917
Renewable energy consumption (% of total final energy consumption),-0.7580880471448279,0.7137084487952304,-0.3210975922098465,0.32413940023765436,-0.47783537152280353,-0.6042836348035114,-0.341500334782247,0.0717118894020306,-0.11554672303255617,-0.29249528476587433,-0.27796683443303694,-0.31040496472432944,-0.1984361751141522,0.6803362673079907,-0.7304183320574733,0.024735871101376972,1.0,-0.39976625062370774,-0.6066279064218261,0.7209371571553875,-0.20378701476789135,-0.25789026305321855,-0.6280976879801704,0.033955645346038635,0.17993152244138066,0.01925691554263382,0.20851693927205378,-0.24893557243758827
"Services, value added per worker (constant 2015 US$)",0.45372221219619524,-0.554292578082196,0.25810105594273897,0.010638133704268776,0.8004564146433544,0.7806881155363432,0.8670508539871827,-0.26284358816327374,0.004518272004189922,0.3501795218452718,0.3786731688702172,-0.028300418984434438,0.22853952195828145,-0.593651439934831,0.43811171558326456,0.21210320946907657,-0.39976625062370774,1.0,0.612568483273791,-0.6284781072710283,0.3191271275489255,0.31896923177820563,0.619086107228438,0.20819748215316944,0.2433120957101736,-0.2248059283583333,0.22027552685386556,-0.07368023525192287
Urban population (% of total population),0.6772164624173764,-0.6455840757885882,0.4428038840691347,-0.12878508587406504,0.6526263575335649,0.7434713824313643,0.5809387521248284,-0.20191179568053574,0.11568292118469636,0.29674450736334473,0.2820034460784949,0.16109042788140016,0.23368743338153078,-0.6403930610088404,0.5943905683919032,0.044312377270923416,-0.6066279064218261,0.612568483273791,1.0,-0.7280617037773451,0.22842896099765403,0.2971001250311087,0.6654824886742788,0.14818484539609528,-0.023112236762821366,-0.1617672137365471,0.06631565607326986,0.1396472750180654
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",-0.7756914547133256,0.7993717998193454,-0.32381905464361116,0.30175802500687554,-0.6504024862910956,-0.8225582353765895,-0.5565633789697993,0.1935494421637586,-0.09237317238752743,-0.2965513993659572,-0.2821597271157338,-0.15581611621197025,-0.25760142624675686,0.792400291086005,-0.7310414215554496,-0.12483335235337642,0.7209371571553875,-0.6284781072710283,-0.7280617037773451,1.0,-0.2825488800417994,-0.405426669987392,-0.7706302548731728,-0.04282461870454365,0.060608751886817185,0.13088612380738213,0.0027088653489900252,-0.055318225314319305
happiness_score,0.17933349280222832,-0.21679184756953765,0.16194999993110928,0.08398125090547774,0.33077534277930193,0.2777334358424311,0.29487522172281094,-0.03963707643280961,0.044619780193146955,0.21115026530144687,0.19573456027435815,0.05781315677787222,0.11897256291410337,-0.22353839848313384,0.2137560636601112,0.019268090235574267,-0.20378701476789135,0.3191271275489255,0.22842896099765403,-0.2825488800417994,1.0,0.3275753470263556,0.22452583925172764,-0.012640920627369002,0.012425937495336334,0.10168649465890497,0.09554579658592025,-0.021837468295616086
social_support,0.33443184375850565,-0.3677171490511656,0.34662699074804215,0.06154078501313619,0.29395556379898624,0.4192520661588599,0.3146416012554315,-0.07035795619290533,-0.04457100436479369,0.16296465632961293,0.15414328880503628,0.011529448271762862,0.11224681599084586,-0.3631797591178271,0.31131353924936495,0.21893840201362572,-0.25789026305321855,0.31896923177820563,0.2971001250311087,-0.405426669987392,0.3275753470263556,1.0,0.3590096009061081,-0.013464230106274719,0.017005703320862573,-0.011862688933463067,0.24913227924556738,-0.03568300259261646
healthy_life_expectancy_at_birth,0.809244940080108,-0.8262396818761018,0.45236460160588504,-0.15815724376708634,0.5244281665553984,0.807236414667405,0.5159050357238157,-0.2335171194767392,0.015613322919831427,0.3034297042491973,0.29971359112096446,0.06959565801170611,0.1570692825025783,-0.8261828187935517,0.6985644567208719,0.21430920621159158,-0.6280976879801704,0.619086107228438,0.6654824886742788,-0.7706302548731728,0.22452583925172764,0.3590096009061081,1.0,0.204144798480762,0.06177156198947313,-0.07857737372636836,0.10189435195222288,0.11439235064025693
freedom_to_make_life_choices,0.01575930881377121,-0.03739046470019942,0.13290723017767248,0.19958449018941082,0.12356771963344168,0.12929500755048057,0.24720872037098954,0.006244527430357678,0.08423020778509548,0.08952838730391717,0.10879209020171662,-0.0870079638823672,0.03621480477517062,-0.040750435204927854,-0.006052374493151707,0.08134505803925635,0.033955645346038635,0.20819748215316944,0.14818484539609528,-0.04282461870454365,-0.012640920627369002,-0.013464230106274719,0.204144798480762,1.0,0.12044612648340013,-0.24623207491987123,0.1733117934436577,-0.17361856409851997
generosity,-0.0807521321338064,-0.006687386487788076,-0.02928916638336566,0.2989840267938386,0.17585042696548514,0.07268669873544552,0.2259819519591824,-0.1055274834159685,-0.09334263366146889,0.05660183778155632,0.07904000168679576,-0.17182038430516733,-0.02926731773622134,-0.010038205478427705,5.74547678121964e-05,0.029303536956411236,0.17993152244138066,0.2433120957101736,-0.023112236762821366,0.060608751886817185,0.012425937495336334,0.017005703320862573,0.06177156198947313,0.12044612648340013,1.0,-0.13267230262081497,0.30139528483474376,-0.015769893065701892
perceptions_of_corruption,-0.0726188803507589,0.0219988796935383,-0.17162147885769174,0.030501300679791263,-0.20852456260905067,-0.126529816296021,-0.24182214036328123,0.021476909884394768,-0.086013969464765,-0.1719449228472148,-0.21149834520913785,-0.035560597077165426,-0.14300604858924534,0.004938925504852101,-0.01742640274292597,-0.09743249109184027,0.01925691554263382,-0.2248059283583333,-0.1617672137365471,0.13088612380738213,0.10168649465890497,-0.011862688933463067,-0.07857737372636836,-0.24623207491987123,-0.13267230262081497,1.0,-0.00725610234473254,0.0633696869912282
positive_affect,-0.08239798884816837,0.010157510028883345,0.16482806625766636,0.35840066148504085,0.18433945311729863,0.15926459221265465,0.2678191739267085,-0.10235883491441637,0.09497554214351792,0.12143017206506426,0.11607623796765953,-0.2420266799049425,0.15451909097002087,0.0035714240628289444,-0.04730539990412235,0.13982330697374515,0.20851693927205378,0.22027552685386556,0.06631565607326986,0.0027088653489900252,0.09554579658592025,0.24913227924556738,0.10189435195222288,0.1733117934436577,0.30139528483474376,-0.00725610234473254,1.0,-0.12121876259212613
negative_affect,0.2294974219362341,-0.08881865372719225,0.14044284433888327,-0.2809142901931932,-0.02125093073714128,0.002249519510600353,-0.097709103263308,0.0003276070095797159,-0.20500580187217235,-0.21597741852736096,-0.2193592766531399,0.07724552923785145,-0.22700553798441095,-0.060794070522986784,0.11404574128784897,-0.0950263365826917,-0.24893557243758827,-0.07368023525192287,0.1396472750180654,-0.055318225314319305,-0.021837468295616086,-0.03568300259261646,0.11439235064025693,-0.17361856409851997,-0.015769893065701892,0.0633696869912282,-0.12121876259212613,1.0
