Indicator Name,total_values,null_values,coverage_percent
Insurance and financial services (% of commercial service exports),5320,1093,79.45488721804512
Food exports (% of merchandise exports),5320,1100,79.32330827067669
Agricultural raw materials imports (% of merchandise imports),5320,1101,79.30451127819549
Manufactures exports (% of merchandise exports),5320,1115,79.04135338345864
Agricultural raw materials exports (% of merchandise exports),5320,1125,78.85338345864662
Ores and metals exports (% of merchandise exports),5320,1128,78.796992481203
Fuel exports (% of merchandise exports),5320,1211,77.23684210526316
Import unit value index (2015 = 100),5320,1211,77.23684210526316
Export unit value index (2015 = 100),5320,1211,77.23684210526316
"International tourism, number of arrivals",5320,1678,68.45864661654136
"International tourism, expenditures for travel items (current US$)",5320,1701,68.02631578947368
"International tourism, receipts for travel items (current US$)",5320,1732,67.44360902255639
"International tourism, expenditures (current US$)",5320,2129,59.9812030075188
"International tourism, receipts (current US$)",5320,2166,59.285714285714285
"International tourism, expenditures (% of total imports)",5320,2201,58.62781954887218
"International tourism, receipts (% of total exports)",5320,2270,57.330827067669176
"New business density (new registrations per 1,000 people ages 15-64)",5320,2399,54.90601503759399
"International tourism, expenditures for passenger transport items (current US$)",5320,2423,54.454887218045116
"International tourism, receipts for passenger transport items (current US$)",5320,2589,51.33458646616541
New businesses registered (number),5320,2950,44.54887218045113
"International tourism, number of departures",5320,3373,36.597744360902254
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),5320,3913,26.44736842105263
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),5320,3913,26.44736842105263
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),5320,3913,26.44736842105263
Logistics performance index: Overall (1=low to 5=high),5320,3913,26.44736842105263
Logistics performance index: Competence and quality of logistics services (1=low to 5=high),5320,3913,26.44736842105263
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),5320,3913,26.44736842105263
Investment in energy with private participation (current US$),5320,4267,19.793233082706767
Public private partnerships investment in energy (current US$),5320,4340,18.42105263157895
"Lead time to export, median case (days)",5320,4392,17.44360902255639
"Lead time to import, median case (days)",5320,4407,17.161654135338345
Investment in transport with private participation (current US$),5320,4735,10.996240601503759
Public private partnerships investment in transport (current US$),5320,4739,10.921052631578947
Firms using banks to finance investment (% of firms),5320,4814,9.511278195488721
Time spent dealing with the requirements of government regulations (% of senior management time),5320,4815,9.492481203007518
Firms offering formal training (% of firms),5320,4816,9.473684210526315
Firms expected to give gifts in meetings with tax officials (% of firms),5320,4816,9.473684210526315
Time to obtain an electrical connection (days),5320,4817,9.454887218045112
Firms with female participation in ownership (% of firms),5320,4818,9.436090225563909
Informal payments to public officials (% of firms),5320,4819,9.417293233082706
Average time to clear imports through customs (days),5320,4822,9.360902255639099
Average time to clear exports through customs (days),5320,4827,9.266917293233083
Firms using banks to finance working capital (% of firms),5320,4842,8.984962406015038
Bribery incidence (% of firms experiencing at least one bribe payment request),5320,4851,8.81578947368421
Time required to obtain an operating license (days),5320,4852,8.796992481203008
Firms competing against unregistered firms (% of firms),5320,4861,8.62781954887218
Firms visited or required meetings with tax officials (% of firms),5320,4865,8.552631578947368
Firms exporting directly at least 10% of sales (% of firms),5320,4865,8.552631578947368
Number of visits or required meetings with tax officials (average for affected firms),5320,4865,8.552631578947368
Firms with at least 10% foreign ownership,5320,4866,8.533834586466165
Firms experiencing electrical outages (% of firms),5320,4866,8.533834586466165
Value lost due to electrical outages (% of sales for affected firms),5320,4866,8.533834586466165
Firms with a bank loan/line of credit (% of firms),5320,4866,8.533834586466165
Firms formally registered when operations started (% of firms),5320,4877,8.327067669172932
Firms with female top manager (% of firms),5320,4914,7.631578947368421
"Firms that introduced a new product/service and process, and spent on R&D",5320,4959,6.785714285714286
Firms that are partially credit constrained (% of firms),5320,5057,4.943609022556391
Firms that are fully credit constrained (% of firms),5320,5057,4.943609022556391
Public private partnerships investment in water and sanitation (current US$),5320,5081,4.492481203007519
Investment in water and sanitation with private participation (current US$),5320,5088,4.360902255639098
Management practices index,5320,5109,3.9661654135338344
Firms where largest owner is also the top manager (% of firms),5320,5131,3.5526315789473686
Firms that use a third party to resolve commercial disputes (% of firms),5320,5172,2.781954887218045
Firms monitoring own CO2 emissions (% of firms),5320,5172,2.781954887218045
Firms filling taxes electronically (% of firms),5320,5172,2.781954887218045
Firms adopting energy management measures to reduce emissions (% of firms),5320,5174,2.744360902255639
Investment in ICT with private participation (current US$),5320,5185,2.537593984962406
Public private partnerships investment in ICT (current US$),5320,5234,1.6165413533834587
B-READY: Business Entry Pillar 3: Operational Efficiency of Business Entry,5320,5270,0.9398496240601504
B-READY: Business Entry Pillar 1: Quality of Regulations for Business Entry,5320,5270,0.9398496240601504
B-READY: Business Entry Pillar 2: Digital Public Services and Transparency of Information for Business Entry,5320,5270,0.9398496240601504
B-READY: Business Location Pillar 3: Operational Efficiency of Establishing a Business Location,5320,5270,0.9398496240601504
B-READY: Business Location Pillar 2: Quality of Public Services and Transparency of Information for Business Location,5320,5270,0.9398496240601504
B-READY: Business Location Pillar 1: Quality of Regulations for Business Location,5320,5270,0.9398496240601504
B-READY: Business Insolvency: Overall Score,5320,5270,0.9398496240601504
B-READY: Business Insolvency Pillar 3: Operational Efficiency of Resolving Judicial Insolvency Proceedings,5320,5270,0.9398496240601504
B-READY: Business Insolvency Pillar 2: Quality of Institutional and Operational Infrastructure for Judicial Insolvency Proceedings,5320,5270,0.9398496240601504
B-READY: Business Insolvency Pillar 1: Quality of Regulations for Judicial Insolvency Proceedings,5320,5270,0.9398496240601504
B-READY: Business Entry: Overall Score,5320,5270,0.9398496240601504
B-READY: Financial Services Pillar 3: Operational Efficiency of Receiving Financial Services,5320,5270,0.9398496240601504
B-READY: Financial Services Pillar 2: Accessibility of Information in Credit Infrastructure,5320,5270,0.9398496240601504
B-READY: Financial Services Pillar 1: Quality of Regulations for Financial Services,5320,5270,0.9398496240601504
B-READY: Dispute Resolution: Overall Score,5320,5270,0.9398496240601504
B-READY: Dispute Resolution Pillar 3:  Ease of Resolving a Commercial Dispute,5320,5270,0.9398496240601504
B-READY: Dispute Resolution Pillar 2: Public Services for Dispute Resolution,5320,5270,0.9398496240601504
B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,5320,5270,0.9398496240601504
B-READY: Business Location: Overall Score,5320,5270,0.9398496240601504
B-READY: Pillar 3: Operational Efficiency,5320,5270,0.9398496240601504
B-READY: Pillar 2: Public Services,5320,5270,0.9398496240601504
B-READY: Pillar 1: Regulatory Framework,5320,5270,0.9398496240601504
B-READY: Market Competition: Overall Score,5320,5270,0.9398496240601504
B-READY: Market Competition Pillar 3:  Implementation of Key Services Promoting Market Competition,5320,5270,0.9398496240601504
B-READY: Market Competition Pillar 2: Public Services that Promote Market Competition,5320,5270,0.9398496240601504
B-READY: Market Competition Pillar 1: Quality of Regulations that Promote Market Competition,5320,5270,0.9398496240601504
B-READY: Labor: Overall Score,5320,5270,0.9398496240601504
B-READY: Utility Services: Overall Score,5320,5270,0.9398496240601504
B-READY: Utility Services Pillar 3: Operational Efficiency of Utility Service Provision,5320,5270,0.9398496240601504
B-READY: Utility Services Pillar 2: Quality of Governance and Transparency of Utility Services,5320,5270,0.9398496240601504
B-READY: Utility Services Pillar 1: Quality of Regulations on Utility Services,5320,5270,0.9398496240601504
B-READY: Taxation: Overall Score,5320,5270,0.9398496240601504
B-READY: Taxation Pillar 3: Operational Efficiency of Tax Systems in Practice,5320,5270,0.9398496240601504
B-READY: Taxation Pillar 2: Public Services Provided by the Tax Administration,5320,5270,0.9398496240601504
B-READY: Taxation Pillar 1: Quality of Regulations on Taxation,5320,5270,0.9398496240601504
B-READY: Financial Services: Overall Score,5320,5270,0.9398496240601504
B-READY: International Trade Pillar 1: Quality of Regulations for International Trade,5320,5270,0.9398496240601504
B-READY: International Trade Pillar 2: Quality of Public Services for the Facilitation of International Trade,5320,5270,0.9398496240601504
"B-READY: International Trade Pillar 3: Efficiency of Importing Goods, Exporting Goods, and Engaging in Digital Trade",5320,5270,0.9398496240601504
B-READY: International Trade: Overall Score,5320,5270,0.9398496240601504
B-READY: Labor Pillar 1: Quality of Labor Regulations,5320,5270,0.9398496240601504
B-READY: Labor Pillar 2: Adequacy of Public Services for Labor,5320,5270,0.9398496240601504
B-READY: Labor Pillar 3: Operational Efficiency of Labor Regulations and Public Services in Practice,5320,5270,0.9398496240601504
