Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
TM.TAX.MRCH.SM.AR.ZS,Trade,"Tariff rate, applied, simple mean, all products (%)",,"Simple mean applied tariff is the unweighted average of effectively applied rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of simple mean tariffs.",,Annual,,,,,,,"Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)","Methodology: This indicator represents the simple (unweighted) average of applied most-favored-nation (MFN) tariff rates across all tariff lines within the all products category. Each line is given equal weight regardless of the trade volume associated with it. The mean is calculated by summing the applied rates and dividing by the number of lines. Simple mean applied tariff is the unweighted average of effectively applied rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of simple mean tariffs. Tariff data are primarily sourced from the World Trade Organization (World Trade Organization (WTO)) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. The indicator excludes missing or unreported lines. Harmonization across HS revisions is conducted to ensure international comparability, and no adjustments are made beyond validation of submitted data.","Poor people in developing countries work primarily in agriculture and labor-intensive manufactures, sectors that confront the greatest trade barriers. Removing barriers to merchandise trade could increase growth in these countries - even more if trade in services were also liberalized.

In general, tariffs in high-income countries on imports from developing countries, though low, are twice those collected from other high-income countries. But protection is also an issue for developing countries, which maintain high tariffs on agricultural commodities, labor-intensive manufactures, and other products and services.

Countries use a combination of tariff and nontariff measures to regulate imports. The most common form of tariff is an ad valorem duty, based on the value of the import, but tariffs may also be levied on a specific, or per unit, basis or may combine ad valorem and specific rates. Tariffs may be used to raise fiscal revenues or to protect domestic industries from foreign competition - or both. Nontariff barriers, which limit the quantity of imports of a particular good, include quotas, prohibitions, licensing schemes, export restraint arrangements, and health and quarantine measures. Because of the difficulty of combining nontariff barriers into an aggregate indicator, they are not included in the data.

Some countries set fairly uniform tariff rates across all imports. Others are selective, setting high tariffs to protect favored domestic industries. The effective rate of protection - the degree to which the value added in an industry is protected - may exceed the nominal rate if the tariff system systematically differentiates among imports of raw materials, intermediate products, and finished goods.",,,,CC BY-4.0
TM.TAX.MRCH.SM.FN.ZS,Trade,"Tariff rate, most favored nation, simple mean, all products (%)",,Simple mean most favored nation tariff rate is the unweighted average of most favored nation rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups.,,Annual,,,,,,,"Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)","Methodology: This indicator calculates the simple (unweighted) mean of statutory most-favored-nation (MFN) tariff rates across all tariff lines for all products. It reflects tariff rates that apply to all World Trade Organization (WTO) members on a non-discriminatory basis unless preferential agreements are in force. Simple mean most favored nation tariff rate is the unweighted average of most favored nation rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups. Tariff data are primarily sourced from the World Trade Organization (WTO) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. The calculation is performed by summing the MFN rates and dividing by the total number of tariff lines. No trade-based weighting is applied. Only reported rates are included, and harmonized classifications ensure comparability across countries.",,,,,CC BY-4.0
TM.TAX.MRCH.WM.AR.ZS,Trade,"Tariff rate, applied, weighted mean, all products (%)",,"Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead.",,Annual,,,,,,,"Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)","Methodology: This indicator computes the average of applied most-favored-nation (MFN) tariff rates for all products, using import values as weights. Tariff lines with higher trade volumes have a proportionally greater influence on the final average. The weighted mean is derived by multiplying each tariff rate by its corresponding import value, summing these products, and dividing by the total import value. Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. Tariff data are primarily sourced from the World Trade Organization (World Trade Organization (WTO)) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. Trade data used for weighting are obtained from official national or international sources. Only lines with both valid tariff rates and trade values are included. Harmonized classifications are used to align trade and tariff data consistently.",,,,,CC BY-4.0
TM.TAX.MRCH.WM.FN.ZS,Trade,"Tariff rate, most favored nation, weighted mean, all products (%)",,Weighted mean most favored nations tariff is the average of most favored nation rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database.,,Annual,,,,,,,"Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)","Methodology: This indicator represents the trade-weighted average of most-favored-nation (MFN) tariff rates across all all products tariff lines. Import values are used to weight each rate, reflecting the relative economic significance of different products in international trade. The weighted average is calculated by taking the sum of the products of MFN rates and import values, divided by the total import value. Weighted mean most favored nations tariff is the average of most favored nation rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Tariff data are primarily sourced from the World Trade Organization (World Trade Organization (WTO)) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. Only tariff lines with both reported MFN rates and corresponding trade values are included. The WTO applies standardized concordance procedures to match trade and tariff data using harmonized product classifications.",,,,,CC BY-4.0
TM.TAX.TCOM.BC.ZS,Trade,"Binding coverage, primary products (%)",,Binding coverage is the percentage of product lines with an agreed bound rate. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals).,,Annual,,,,,,,"Staff estimates, World Bank (WB);
World Integrated Trade Solution system (WITS), World Bank (WB);
World Trade Organization (WTO)","Methodology: This indicator is calculated as the proportion of tariff lines for primary products that are bound under World Trade Organization (WTO) commitments. A tariff line is considered bound if a maximum rate is legally committed in the WTO schedule of concessions. The binding coverage is computed by dividing the number of bound tariff lines by the total number of tariff lines in the relevant product category and multiplying the result by 100 to express it as a percentage. Binding coverage is the percentage of product lines with an agreed bound rate. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Primary products are commodities classified in Standard International Trade Classification (SITC) revision 3 sections 0-4 plus division 68 (nonferrous metals). Tariff data are primarily sourced from the World Trade Organization (WTO) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. The indicator is compiled using only officially reported bound statuses without imputation. It is methodologically consistent across countries, with tariff line concordance procedures applied to standardize classification and maintain comparability across HS revisions.",,,,,CC BY-4.0
TM.TAX.TCOM.BR.ZS,Trade,"Bound rate, simple mean, primary products (%)",,Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals).,,Annual,,,,,,,"Staff estimates, World Bank (WB);
World Integrated Trade Solution system (WITS), World Bank (WB);
World Trade Organization (WTO)","Methodology: This indicator represents the unweighted average of final bound tariff rates across all primary products tariff lines. The calculation involves summing the bound rates applied to each individual tariff line and dividing by the total number of lines within the product category. Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Primary products are commodities classified in Standard International Trade Classification (SITC) revision 3 sections 0-4 plus division 68 (nonferrous metals). Tariff data are primarily sourced from the World Trade Organization (World Trade Organization (WTO)) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. The indicator reflects commitments under WTO agreements and is not adjusted for trade volume. It includes only those lines for which binding rates have been reported. The methodology ensures consistency across countries by converting national tariff submissions to a harmonized HS version.",,,,,CC BY-4.0
TM.TAX.TCOM.SM.AR.ZS,Trade,"Tariff rate, applied, simple mean, primary products (%)",,"Simple mean applied tariff is the unweighted average of effectively applied rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of simple mean tariffs. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals).",,Annual,,,,,,,"Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)","Methodology: This indicator represents the simple (unweighted) average of applied most-favored-nation (MFN) tariff rates across all tariff lines within the primary products category. Each line is given equal weight regardless of the trade volume associated with it. The mean is calculated by summing the applied rates and dividing by the number of lines. Simple mean applied tariff is the unweighted average of effectively applied rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of simple mean tariffs. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals). Tariff data are primarily sourced from the World Trade Organization (World Trade Organization (WTO)) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. The indicator excludes missing or unreported lines. Harmonization across HS revisions is conducted to ensure international comparability, and no adjustments are made beyond validation of submitted data.",,,,,CC BY-4.0
TM.TAX.TCOM.SM.FN.ZS,Trade,"Tariff rate, most favored nation, simple mean, primary products (%)",,Simple mean most favored nation tariff rate is the unweighted average of most favored nation rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals).,,Annual,,,,,,,"Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)","Methodology: This indicator calculates the simple (unweighted) mean of statutory most-favored-nation (MFN) tariff rates across all tariff lines for primary products. It reflects tariff rates that apply to all World Trade Organization (WTO) members on a non-discriminatory basis unless preferential agreements are in force. Simple mean most favored nation tariff rate is the unweighted average of most favored nation rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals). Tariff data are primarily sourced from the World Trade Organization (WTO) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. The calculation is performed by summing the MFN rates and dividing by the total number of tariff lines. No trade-based weighting is applied. Only reported rates are included, and harmonized classifications ensure comparability across countries.",,,,,CC BY-4.0
TM.TAX.TCOM.WM.AR.ZS,Trade,"Tariff rate, applied, weighted mean, primary products (%)",,"Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals).",,Annual,,,,,,,"Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)","Methodology: This indicator computes the average of applied most-favored-nation (MFN) tariff rates for primary products, using import values as weights. Tariff lines with higher trade volumes have a proportionally greater influence on the final average. The weighted mean is derived by multiplying each tariff rate by its corresponding import value, summing these products, and dividing by the total import value. Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals). Tariff data are primarily sourced from the World Trade Organization (World Trade Organization (WTO)) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. Trade data used for weighting are obtained from official national or international sources. Only lines with both valid tariff rates and trade values are included. Harmonized classifications are used to align trade and tariff data consistently.",,,,,CC BY-4.0
TM.TAX.TCOM.WM.FN.ZS,Trade,"Tariff rate, most favored nation, weighted mean, primary products (%)",,Weighted mean most favored nations tariff is the average of most favored nation rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals).,,Annual,,,,,,,"Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)","Methodology: This indicator represents the trade-weighted average of most-favored-nation (MFN) tariff rates across all primary products tariff lines. Import values are used to weight each rate, reflecting the relative economic significance of different products in international trade. The weighted average is calculated by taking the sum of the products of MFN rates and import values, divided by the total import value. Weighted mean most favored nations tariff is the average of most favored nation rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals). Tariff data are primarily sourced from the World Trade Organization (World Trade Organization (WTO)) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. Only tariff lines with both reported MFN rates and corresponding trade values are included. The WTO applies standardized concordance procedures to match trade and tariff data using harmonized product classifications.",,,,,CC BY-4.0
TM.VAL.MRCH.XD.WD,Trade,Import value index (2015 = 100),,Import value indexes are the current value of imports (c.i.f.) converted to U.S. dollars and expressed as a percentage of the average for the base period (2015). UNCTAD's import value indexes are reported for most economies.,,Annual,,,,,,,UN Conference on Trade and Development (UNCTAD),"Methodology: The Import Value Index (base year 2015 = 100) captures the movement in the total value of merchandise imports over time, using 2015 as the reference period. This index reflects changes in both the price and quantity of imported goods. An index value above 100 indicates that the total value of imports has increased compared to the base year, while a value below 100 suggests a decline. The indicator is constructed using current-dollar import values, typically sourced from customs data or trade statistics reports. 

Import values are aggregated across all products and trading partners. Because the index combines both price and volume effects, it does not isolate whether changes are due to rising prices, increased quantities, or both. For this reason, it is often interpreted alongside other indicators such as unit value or volume indexes.

Index values are calculated by comparing the nominal value of imports in each year to that of the base year, then scaling the result so that the base year equals 100. This normalization allows for straightforward interpretation and cross-country comparisons. The index is useful for identifying structural shifts in import demand, the impact of currency fluctuations, and the effects of trade policy. It can also be used in macroeconomic modeling to estimate import deflators or as an input for terms-of-trade calculations.",,,,,CC BY-4.0
TT.PRI.MRCH.XD.WD,Trade,Net barter terms of trade index (2015 = 100),,"Net barter terms of trade index is calculated as the percentage ratio of the export unit value indexes to the import unit value indexes, measured relative to the base year 2015.",,Annual,,,,,,,UN Conference on Trade and Development (UNCTAD),"Methodology: The Net Barter Terms of Trade Index (base year 2015 = 100) is calculated as the ratio of an export price index to an import price index, multiplied by 100. This index measures the rate at which a country can exchange its exports for imports. A value greater than 100 means the terms of trade have improved relative to the base year, allowing the country to obtain more imports for a given level of exports. Conversely, a value below 100 indicates that the terms have worsened.

Export and import price indexes are derived from unit value data or sampled transaction-level data, depending on country-specific reporting practices. The price indexes may be computed using fixed or chain-weighted methods. To ensure temporal comparability, the export and import series are indexed to a common base year (2015 = 100).

The terms of trade index is sensitive to fluctuations in global commodity prices, exchange rate movements, and changes in trade composition. It is used to assess trade gains or losses, especially for countries reliant on exports of primary commodities. Although it does not capture changes in volumes traded, it provides insight into the relative value received for exports. Policymakers and researchers may use this indicator to monitor competitiveness and evaluate exposure to external shocks.",,,,,CC BY-4.0
TX.QTY.MRCH.XD.WD,Trade,Export volume index (2015 = 100),,"Export volume indexes are derived from UNCTAD's volume index series and are the ratio of the export value indexes to the corresponding unit value indexes. Unit value indexes are based on data reported by countries that demonstrate consistency under UNCTAD quality controls, supplemented by UNCTAD's estimates using the previous year's trade values at the Standard International Trade Classification three-digit level as weights.",,Annual,,,,,,,UN Conference on Trade and Development (UNCTAD),"Methodology: The Export Volume Index (base year 2015 = 100) measures changes in the physical volume of merchandise exports over time, adjusting for price effects. By The Export Volume Index (base year 2015 = 100) measures changes in the physical volume of merchandise exports over time, adjusting for price effects. By removing the influence of price changes, this index isolates real growth or contraction in exported quantities. A value above 100 indicates that the volume of exports has increased relative to the base year, while a value below 100 signals a reduction.

To calculate the index, nominal export values are deflated using export price indices or unit value series, depending on the availability of data. These deflated values are then compared to the base year to produce an index that is normalized to 100 in 2015. The index covers all merchandise exports, and values are aggregated at the national level across products and partner economies.

The Export Volume Index helps distinguish between growth due to increased trade activity and growth driven solely by price inflation. It is particularly relevant for monitoring export performance in real terms, analyzing supply chain trends, and identifying structural shifts in trade composition. This index can inform decisions on industrial policy, export diversification, and investment in production capacity. It may also support economic modeling exercises requiring real trade variables.",,,,,CC BY-4.0
TX.VAL.MRCH.XD.WD,Trade,Export value index (2015 = 100),,Export values are the current value of exports (f.o.b.) converted to U.S. dollars and expressed as a percentage of the average for the base period (2015). UNCTAD's export value indexes are reported for most economies.,,Annual,,,,,,,UN Conference on Trade and Development (UNCTAD),"Methodology: The value indices show the current value of exports (f.o.b.) for an economy, after conversion to United States dollars and with the reference year =100. Thus it is simply derived from monetary values from the total trade series or from the trade matrix and exchange rates.",,,,,CC BY-4.0
